"","pay","algorithm","sdev","n","s","rep"
"575",58,5,"0.5",5,5,17
"576",67.0155117705169,1,"1",5,5,17
"577",52.7344027335912,2,"1",5,5,17
"578",67.0155117705169,3,"1",5,5,17
"579",67.0155117705169,4,"1",5,5,17
"580",67.0155117705169,5,"1",5,5,17
"581",76.1223977852917,1,"2",5,5,17
"582",76.1223977852917,2,"2",5,5,17
"583",76.1223977852917,3,"2",5,5,17
"584",76.1223977852917,4,"2",5,5,17
"585",76.1223977852917,5,"2",5,5,17
"586",83.5518181254863,1,"5",5,5,17
"587",83.5518181254863,2,"5",5,5,17
"588",83.5518181254863,3,"5",5,5,17
"589",83.5518181254863,4,"5",5,5,17
"590",83.5518181254863,5,"5",5,5,17
"591",87.5728320235689,1,"10",5,5,17
"592",87.5728320235689,2,"10",5,5,17
"593",87.5728320235689,3,"10",5,5,17
"594",87.5728320235689,4,"10",5,5,17
"595",87.5728320235689,5,"10",5,5,17
"596",38,1,"0.05",5,5,18
"597",30,2,"0.05",5,5,18
"598",38,3,"0.05",5,5,18
"599",38,4,"0.05",5,5,18
"600",38,5,"0.05",5,5,18
"601",38,1,"0.1",5,5,18
"602",30,2,"0.1",5,5,18
"603",38,3,"0.1",5,5,18
"604",38,4,"0.1",5,5,18
"605",38,5,"0.1",5,5,18
"606",38,1,"0.5",5,5,18
"607",30.00000001523,2,"0.5",5,5,18
"608",38,3,"0.5",5,5,18
"609",38,4,"0.5",5,5,18
"610",38,5,"0.5",5,5,18
"611",38,1,"1",5,5,18
"612",27.6391839582758,2,"1",5,5,18
"613",38,3,"1",5,5,18
"614",38,4,"1",5,5,18
"615",38,5,"1",5,5,18
"616",29.7135314228255,1,"2",5,5,18
"617",32.8437444124503,2,"2",5,5,18
"618",38,3,"2",5,5,18
"619",38,4,"2",5,5,18
"620",38,5,"2",5,5,18
"621",46.563916976572,1,"5",5,5,18
"622",46.563916976572,2,"5",5,5,18
"623",46.563916976572,3,"5",5,5,18
"624",46.563916976572,4,"5",5,5,18
"625",46.563916976572,5,"5",5,5,18
"626",50.5479169004923,1,"10",5,5,18
"627",50.5479169004923,2,"10",5,5,18
"628",50.5479169004923,3,"10",5,5,18
"629",50.5479169004923,4,"10",5,5,18
"630",50.5479169004923,5,"10",5,5,18
"631",17,1,"0.05",5,5,19
"632",39,2,"0.05",5,5,19
"633",39,3,"0.05",5,5,19
"634",39,4,"0.05",5,5,19
"635",39,5,"0.05",5,5,19
"636",17,1,"0.1",5,5,19
"637",39,2,"0.1",5,5,19
"638",39,3,"0.1",5,5,19
"639",39,4,"0.1",5,5,19
"640",39,5,"0.1",5,5,19
"641",17.8126826246755,1,"0.5",5,5,19
"642",39,2,"0.5",5,5,19
"643",39.2706705664732,3,"0.5",5,5,19
"644",39.2706705664732,4,"0.5",5,5,19
"645",39.2706705664732,5,"0.5",5,5,19
"646",15.636676978622,1,"1",5,5,19
"647",40.2130613194253,2,"1",5,5,19
"648",40.2130613194253,3,"1",5,5,19
"649",40.2130613194253,4,"1",5,5,19
"650",40.2130613194253,5,"1",5,5,19
"651",35.5069410064938,1,"2",5,5,19
"652",45.6196864268084,2,"2",5,5,19
"653",45.6196864268084,3,"2",5,5,19
"654",45.6196864268084,4,"2",5,5,19
"655",45.6196864268084,5,"2",5,5,19
"656",50.3864682801719,1,"5",5,5,19
"657",50.4710324916542,2,"5",5,5,19
"658",50.4710324916542,3,"5",5,5,19
"659",50.4710324916542,4,"5",5,5,19
"660",50.4710324916542,5,"5",5,5,19
"661",53.0693376454175,1,"10",5,5,19
"662",53.0693376454175,2,"10",5,5,19
"663",53.0693376454175,3,"10",5,5,19
"664",53.0693376454175,4,"10",5,5,19
"665",53.0693376454175,5,"10",5,5,19
"666",43,1,"0.05",5,5,20
"667",61,2,"0.05",5,5,20
"668",74,3,"0.05",5,5,20
"669",74,4,"0.05",5,5,20
"670",74,5,"0.05",5,5,20
"671",43,1,"0.1",5,5,20
"672",61,2,"0.1",5,5,20
"673",74,3,"0.1",5,5,20
"674",74,4,"0.1",5,5,20
"675",74,5,"0.1",5,5,20
"676",45.9773762312055,1,"0.5",5,5,20
"677",61.5413411329464,2,"0.5",5,5,20
"678",74.0013418505116,3,"0.5",5,5,20
"679",74.0013418505116,4,"0.5",5,5,20
"680",74.0013418505116,5,"0.5",5,5,20
